clus,pois,latitude,longitude,time,categories
0,Monastero_di_Sant'Orsola,43.77723333,11.25446944,120,chiesedifirenze
1,Fontana_del_Porcellino,43.76985,11.25426389,120,fontanedifirenze
2,Chiesa_dei_Sette_Santi_Fondatori,43.78073333,11.27849167,2400,chiesedifirenze
3,Fontane_dei_mostri_marini,43.77634444,11.26094167,625.6226415,fontanedifirenze
4,Piazza_del_Mercato_Centrale,43.77653611,11.254075,514.7368421,piazzedifirenze
5,Via_Ricasoli,43.77554444,11.25773056,160.36,stradedifirenze
6,Via_della_Vigna_Vecchia;Palazzo_Covoni,43.77016667,11.25918333,314,palazzidifirenze;stradedifirenze
7,Via_dei_Fossi,43.77185833,11.24847222,120,stradedifirenze
8,Palazzo_Corsini_al_Parione,43.770475,11.24898333,120,palazzidifirenze
9,Museo_di_storia_naturale_sezione_di_mineralogia_e_litologia,43.7778,11.26059,1800,museidifirenze;mineralogia
10,Giardino_Corsi_Annalena,43.76358056,11.244125,120,giardinidifirenze
11,Giardino_Corsini,43.77683333,11.242075,2559.285714,giardinidifirenze
12,Chiesa_di_Sant'Egidio_(Firenze),43.77327778,11.26005556,372.75,chiesedifirenze
13,Palazzo_Minerbetti,43.77040556,11.25123056,187.2372881,palazzidifirenze
14,Oratorio_di_Gesù_Pellegrino,43.77846111,11.25757778,330.6666667,chiesedifirenze
15,Chiesa_di_Sant'Agata_(Firenze),43.78214444,11.26076111,377.4166667,chiesedifirenze
16,Chiesa_di_Santa_Monica_(Firenze),43.76812222,11.24496389,664,chiesedifirenze
17,Monumento_al_Generale_Manfredo_Fanti;Piazza_San_Marco_(Firenze),43.77778889,11.25886111,553.1481481,monumentidifirenze;piazzedifirenze;scultureafirenze
19,Chiesa_di_San_Niccolò_Oltrarno,43.76461389,11.261225,224.6666667,chiesedifirenze
20,Palazzo_de'_Nobili,43.76985278,11.25256111,120,palazzidifirenze
21,Teatro_dei_Concordi_(Firenze),43.76738333,11.26003333,206.9090909,teatridifirenze
22,Grotta_di_Mosè,43.76473056,11.25043889,204.041958,palazzidifirenze;grotteartificiali;fontanedifirenze
23,Teatro_Diurno,43.76356111,11.269725,733.0909091,teatridifirenze
24,Palazzo_Portigiani;Via_de'_Rondinelli,43.773025,11.25188056,120,stradedifirenze;palazzidifirenze
25,Cenacolo_di_Fuligno,43.77728333,11.25142222,985.4347826,cenacoliafirenze
26,Chiesa_di_San_Salvi,43.7721,11.28611,120,chiesedifirenze
27,Palazzo_dell'Arte_dei_Mercatanti,43.76995556,11.25515556,204.021978,palazzidifirenze
28,Giardino_di_Boboli,43.76236111,11.24829722,390.4814815,boboli
29,Palazzo_dei_Mozzi,43.76466944,11.25799167,120,palazzidifirenze
