clus,pois,latitude,longitude,time,categories
0,Porta_del_Leone,43.72374167,10.397325,300,portedipisa
1,Chiesa_di_San_Michele_degli_Scalzi,43.70584167,10.41904167,1200,chiesedipisa
2,Chiesa_di_Santa_Cristina_(Pisa),43.71573333,10.4,667.625,chiesedipisa
3,Chiesa_e_convento_di_San_Torpé,43.72194444,10.40222222,300,chiesedipisa
4,Museo_nazionale_di_San_Matteo;Chiesa_e_convento_di_San_Matteo,43.71453333,10.40761389,579.5333333,museiarcheologicid'italia;pinacoteched'italia;chiesedipisa;museidipisa
5,Chiesa_di_Santa_Cecilia_(Pisa),43.71835556,10.40310556,492.64,chiesedipisa
6,Chiesa_di_Santa_Chiara_(Pisa),43.72166389,10.39539444,300,chiesedipisa
7,Teatro_Sant'Andrea;Chiesa_di_Sant'Andrea_Forisportam,43.71615833,10.40555,300,chiesedipisa;teatridipisa
8,Chiesa_di_Sant'Antonio_abate_(Pisa),43.71111111,10.3975,300,chiesedipisa
9,Orto_botanico_di_Pisa,43.72041111,10.39591667,300,museidipisa;architetturedipisa;ortibotanicid'italia
10,Chiesa_di_San_Rocco_(Pisa),43.71950556,10.39950556,1200,chiesedipisa
11,Chiesa_di_San_Silvestro_(Pisa),43.71423889,10.40979444,1800,chiesedipisa
12,Chiesa_di_San_Tommaso_delle_Convertite,43.72196667,10.40021111,300,chiesedipisa
13,Chiesa_di_Santo_Stefano_extra_moenia,43.723775,10.39982778,300,chiesedipisa
14,Chiesa_di_San_Francesco_(Pisa),43.71833333,10.40638889,300,chiesedipisa
15,Torre_pendente_di_Pisa,43.72295833,10.39637778,583.8092622,torridipisa;campanili
16,Palazzo_del_Collegio_Puteano,43.71931944,10.39944722,300,palazzidipisa
17,Torre_della_Muda,43.71963056,10.39952222,300,storiadipisa;torridipisa
18,Chiesa_di_San_Michele_in_Borgo,43.71689444,10.40254167,300,chiesedipisa
19,Palazzo_delle_Vedove,43.716575,10.39603611,300,residenzedeimedici;palazzidipisa
20,Cimitero_ebraico_di_Pisa,43.72390833,10.39304167,431.6666667,cimiteridipisa
21,Museo_delle_sinopie,43.72234167,10.39466389,348.2613636,museidipisa;ciclidiaffreschidellatoscana
22,Porta_Nuova_(Pisa),43.72278056,10.39271389,300,portedipisa
23,Ponte_della_Fortezza,43.71349722,10.40795556,300,pontidipisa
24,Cittadella_Nuova,43.71103056,10.40676667,560.7333333,architetturedipisa;fortezzedellatoscana
25,Ponte_della_Ferrovia_(Pisa),43.71215278,10.38883889,300,pontidipisa
26,Ponte_della_Cittadella,43.71291944,10.39049167,300,pontidipisa
27,Chiesa_di_San_Giuseppe_(Pisa),43.72131667,10.401625,300,chiesedipisa
28,Porta_a_Mare,43.71241667,10.39139444,300,portedipisa
29,Stazione_di_Pisa_San_Rossore,43.70693611,10.38794167,300,stazioniferroviariedipisa
30,Chiesa_di_San_Nicola_(Pisa),43.71671389,10.39635556,300,chiesedipisa
31,Ponte_Solferino,43.71512222,10.39512222,336.8270677,pontidipisa
32,Trionfo_della_Morte_(Buffalmacco);Giudizio_finale_e_Inferno;Tebaide_(Buffalmacco),43.72421111,10.3941,620.0769231,dipintiapisa;ciclidiaffreschidellatoscana;ciclidiaffreschidellatoscana;tebaidi;dipintiapisa;ciclidiaffreschidellatoscana;giudiziuniversali;dipintiapisa
33,Chiesa_di_Santa_Caterina_d'Alessandria_(Pisa),43.72114444,10.40421944,300,chiesedipisa
34,Battistero_di_San_Giovanni_(Pisa),43.72333333,10.39388889,300,chiesedipisa;giovannipisano;battisteridellatoscana
35,Piazza_dei_Cavalieri,43.71944444,10.39972222,300,piazzedipisa
36,Palazzo_Medici_(Pisa),43.71465,10.40678889,421.52,palazzidipisa;residenzedeimedici
37,Chiesa_del_Santo_Sepolcro_(Pisa),43.71447222,10.40326667,596.0121951,chiesedipisa
38,Palazzo_Salviati,43.71425,10.40189167,974.6744186,palazzidipisa
39,Palazzo_Mosca,43.71557778,10.400425,300,palazzidipisa
40,Casa_del_Nero,43.71535278,10.400075,300,palazzidipisa
41,Palazzo_Alliata,43.71564444,10.39881667,534.4242424,palazzidipisa
42,Palazzo_Cevoli,43.71472222,10.40154167,759.516129,palazzidipisa
43,Palazzo_Lanfranchi_(Pisa),43.71398333,10.404525,341.5714286,museidipisa;palazzidipisa
44,Palazzo_del_Torto,43.71218889,10.40523333,670.44,palazzidipisa
45,Casa_Tizzoni,43.71351111,10.40378889,653.5384615,palazzidipisa
46,Casa_Gualandi,43.71510833,10.39675833,300,palazzidipisa
47,Chiesa_dei_Santi_Jacopo_e_Filippo_(Pisa),43.70879444,10.41453889,300,chiesedipisa
48,Ponte_della_Vittoria_(Pisa),43.71002222,10.40836944,458,pontidipisa
49,Ponte_del_CEP,43.70811944,10.37491944,300,pontidipisa
50,Ponte_di_Mezzo,43.71589444,10.40171111,300,pontidipisa
52,Casa_Miniati,43.71804167,10.39651111,300,palazzidipisa
53,Palazzo_Arcivescovile_(Pisa),43.72219444,10.39867222,300,palazzidipisa
